fixture_id,date,player_id,player_name,team,opponent,is_home,position,minutes,rating,shots,shots_on_target,goals,assists,passes,passes_accurate,key_passes,tackles,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,cards
719349,2021-08-13T18:30:00+00:00,2802,Yann Sommer,Borussia Monchengladbach,Bayern Munich,1,G,90,8.5,0,0,0,0,35,19,0,0,0,0,0,0,0,0,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,1082,Stefan Lainer,Borussia Monchengladbach,Bayern Munich,1,D,90,6.3,1,0,0,0,31,22,1,1,0,1,8,3,1,0,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,2915,Matthias Ginter,Borussia Monchengladbach,Bayern Munich,1,D,90,7.0,0,0,0,0,20,13,0,1,1,3,10,5,0,0,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,2803,Nico Elvedi,Borussia Monchengladbach,Bayern Munich,1,D,90,6.9,1,0,0,0,32,25,1,0,2,2,3,1,0,0,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,50852,Joseph Scally,Borussia Monchengladbach,Bayern Munich,1,D,90,7.0,0,0,0,0,26,21,0,2,0,3,11,8,3,2,2,0,0,0,0
719349,2021-08-13T18:30:00+00:00,25637,Christoph Kramer,Borussia Monchengladbach,Bayern Munich,1,M,90,6.9,0,0,0,0,35,20,0,4,0,0,11,7,2,2,0,1,0,0,0
719349,2021-08-13T18:30:00+00:00,25638,Florian Neuhaus,Borussia Monchengladbach,Bayern Munich,1,M,89,7.7,1,1,0,0,29,24,0,4,1,4,9,5,2,1,0,1,1,0,1
719349,2021-08-13T18:30:00+00:00,25644,Patrick Herrmann,Borussia Monchengladbach,Bayern Munich,1,M,64,6.9,1,0,0,0,21,15,2,4,0,2,14,6,1,0,1,1,0,0,0
719349,2021-08-13T18:30:00+00:00,25639,Lars Stindl,Borussia Monchengladbach,Bayern Munich,1,M,90,6.9,3,1,0,1,34,28,1,2,0,1,15,5,2,2,0,1,1,0,1
719349,2021-08-13T18:30:00+00:00,1103,Hannes Wolf,Borussia Monchengladbach,Bayern Munich,1,M,72,6.9,1,1,0,0,21,12,0,11,0,0,24,11,3,0,0,2,0,0,0
719349,2021-08-13T18:30:00+00:00,25646,Alassane Pléa,Borussia Monchengladbach,Bayern Munich,1,F,64,7.2,1,1,1,0,24,19,1,0,0,1,9,4,2,0,1,0,0,0,0
719349,2021-08-13T18:30:00+00:00,25641,Keanan Bennetts,Borussia Monchengladbach,Bayern Munich,1,F,18,6.9,0,0,0,0,7,6,0,1,0,0,4,4,2,2,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,25635,Jonas Hofmann,Borussia Monchengladbach,Bayern Munich,1,M,26,6.3,0,0,0,0,13,8,1,0,0,1,3,0,1,0,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,24962,László Bénes,Borussia Monchengladbach,Bayern Munich,1,M,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,21509,Marcus Thuram,Borussia Monchengladbach,Bayern Munich,1,F,26,6.6,1,0,0,0,4,4,1,2,0,0,9,5,3,3,0,1,0,0,0
719349,2021-08-13T18:30:00+00:00,497,Manuel Neuer,Bayern Munich,Borussia Monchengladbach,0,G,90,6.9,0,0,0,0,44,41,0,0,0,0,0,0,0,0,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,125171,Josip Stanišić,Bayern Munich,Borussia Monchengladbach,0,D,82,6.5,3,2,0,0,47,38,1,2,0,2,12,4,4,1,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,1149,Dayot Upamecano,Bayern Munich,Borussia Monchengladbach,0,D,90,6.6,2,0,0,0,79,65,0,3,0,1,20,12,1,0,1,1,0,0,0
719349,2021-08-13T18:30:00+00:00,506,Niklas Süle,Bayern Munich,Borussia Monchengladbach,0,D,90,7.2,0,0,0,0,93,81,1,1,0,0,11,8,4,3,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,509,Alphonso Davies,Bayern Munich,Borussia Monchengladbach,0,D,90,7.3,1,1,0,0,69,60,2,3,0,1,20,13,13,9,1,1,0,0,0
719349,2021-08-13T18:30:00+00:00,502,Joshua Kimmich,Bayern Munich,Borussia Monchengladbach,0,M,90,8.2,1,0,0,1,84,74,5,1,0,1,7,4,0,0,1,0,0,0,0
719349,2021-08-13T18:30:00+00:00,511,Leon Goretzka,Bayern Munich,Borussia Monchengladbach,0,M,90,7.2,0,0,0,0,45,41,1,4,0,1,10,8,0,0,1,0,0,0,0
719349,2021-08-13T18:30:00+00:00,644,Leroy Sané,Bayern Munich,Borussia Monchengladbach,0,M,75,6.6,3,1,0,0,25,18,1,1,0,1,16,5,7,4,0,2,0,0,0
719349,2021-08-13T18:30:00+00:00,522,Thomas Müller,Bayern Munich,Borussia Monchengladbach,0,M,82,6.3,0,0,0,0,33,26,0,1,0,1,9,2,2,1,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,510,Serge Gnabry,Bayern Munich,Borussia Monchengladbach,0,M,75,6.9,1,0,0,0,41,32,1,1,0,1,14,5,6,3,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,521,Robert Lewandowski,Bayern Munich,Borussia Monchengladbach,0,F,90,7.2,5,5,1,0,27,16,2,0,0,0,5,2,1,0,1,0,0,0,0
719349,2021-08-13T18:30:00+00:00,1915,Bouna Sarr,Bayern Munich,Borussia Monchengladbach,0,D,8,6.9,0,0,0,0,4,4,0,0,1,1,1,0,0,0,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,508,Kingsley Coman,Bayern Munich,Borussia Monchengladbach,0,F,15,6.7,1,0,0,0,7,6,0,0,0,0,1,0,0,0,0,0,0,0,0
719349,2021-08-13T18:30:00+00:00,181812,Jamal Musiala,Bayern Munich,Borussia Monchengladbach,0,M,15,7.2,0,0,0,0,9,7,1,1,0,0,4,3,1,1,1,0,0,0,0
719349,2021-08-13T18:30:00+00:00,275,Eric Maxim Choupo-Moting,Bayern Munich,Borussia Monchengladbach,0,F,8,6.3,0,0,0,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0
719351,2021-08-14T13:30:00+00:00,2918,Koen Casteels,VfL Wolfsburg,Vfl Bochum,1,G,90,7.2,0,0,0,0,19,14,0,0,0,0,1,1,0,0,0,0,0,0,0
719351,2021-08-14T13:30:00+00:00,946,Kevin Mbabu,VfL Wolfsburg,Vfl Bochum,1,D,90,7.6,0,0,0,0,51,40,2,2,0,7,15,6,2,1,0,3,0,0,0
719351,2021-08-14T13:30:00+00:00,20995,Maxence Lacroix,VfL Wolfsburg,Vfl Bochum,1,D,90,7.2,0,0,0,0,90,79,0,1,0,1,3,3,1,1,1,0,0,0,0
719351,2021-08-14T13:30:00+00:00,25397,John Brooks,VfL Wolfsburg,Vfl Bochum,1,D,90,7.5,0,0,0,0,82,77,0,0,1,7,7,3,1,0,0,0,0,0,0
719351,2021-08-14T13:30:00+00:00,25404,Jérôme Roussillon,VfL Wolfsburg,Vfl Bochum,1,D,87,6.7,1,1,0,0,47,42,0,1,0,1,8,3,5,2,0,1,0,0,0
719351,2021-08-14T13:30:00+00:00,1095,Xaver Schlager,VfL Wolfsburg,Vfl Bochum,1,M,81,7.5,1,0,0,0,56,46,1,4,0,1,11,7,3,2,1,0,0,0,0
